id,district,area,lat,lng,accidents,casualties,serious,children,elderly,night,commute,pm,weatherRisk,speedLimit,schoolZone,roadType,signalDensity,trafficVolume,note
PED-DJ-001,동구,동구 중동(대전역네거리 부근),36.331998086490,127.432672856830,11,11,11,0,4,0.3507,0.43,1,0.36,50,0,역세권,0.94,0.81,"KOROAD 보행자 사고다발지역 원자료 기반. 동구 중동(대전역네거리 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-002,동구,동구 원동(대전중앙시장 부근),36.330154890930,127.433498950860,8,8,8,0,3,0.3507,0.32,1,0.38,30,0,전통시장,0.65,0.71,"KOROAD 보행자 사고다발지역 원자료 기반. 동구 원동(대전중앙시장 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-003,중구,중구 유천동(대전가장큰약국 부근),36.318550598231,127.399268946715,7,7,7,0,2,0.3451,0.36,1,0.33,50,0,도시도로,0.65,0.62,"KOROAD 보행자 사고다발지역 원자료 기반. 중구 유천동(대전가장큰약국 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-004,서구,서구 둔산동(워너비 부근),36.350261365335,127.375849526046,15,15,15,1,3,0.4071,0.36,2,0.33,50,0,상업보행,0.72,0.9,"KOROAD 보행자 사고다발지역 원자료 기반. 서구 둔산동(워너비 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-005,서구,서구 둔산동(은하수네거리 부근),36.351227461120,127.377787375560,8,8,8,1,2,0.4071,0.4,2,0.33,50,0,교차로,0.83,0.66,"KOROAD 보행자 사고다발지역 원자료 기반. 서구 둔산동(은하수네거리 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-006,서구,서구 둔산동(온유네닭매운탕 부근),36.349266796402,127.398418960507,7,8,8,1,2,0.4071,0.36,2,0.33,50,0,상업보행,0.65,0.62,"KOROAD 보행자 사고다발지역 원자료 기반. 서구 둔산동(온유네닭매운탕 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-007,서구,서구 도마동(도마네거리 부근),36.313682426368,127.379936770867,7,7,7,1,2,0.4071,0.4,2,0.33,50,0,교차로,0.83,0.62,"KOROAD 보행자 사고다발지역 원자료 기반. 서구 도마동(도마네거리 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-008,서구,서구 둔산동(한마루네거리 부근),36.353233345456,127.389494447151,7,7,7,1,2,0.4071,0.4,2,0.33,50,0,교차로,0.83,0.62,"KOROAD 보행자 사고다발지역 원자료 기반. 서구 둔산동(한마루네거리 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-009,서구,서구 정림동(무지개종합시장 부근),36.305873453599,127.365741533498,7,7,7,1,2,0.4071,0.32,2,0.38,30,0,전통시장,0.65,0.67,"KOROAD 보행자 사고다발지역 원자료 기반. 서구 정림동(무지개종합시장 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-010,유성구,유성구 봉명동(유성온천사거리 부근),36.355845130498,127.341743670672,7,7,7,0,2,0.3499,0.4,1,0.33,50,0,교차로,0.83,0.62,"KOROAD 보행자 사고다발지역 원자료 기반. 유성구 봉명동(유성온천사거리 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
PED-DJ-011,대덕구,대덕구 석봉동(신탄진시장 부근),36.450094639875,127.425999029957,9,9,9,1,3,0.321,0.32,1,0.38,30,0,전통시장,0.66,0.74,"KOROAD 보행자 사고다발지역 원자료 기반. 대덕구 석봉동(신탄진시장 부근)은 차량 사고 전체보다 보행자 피해가 두드러지는 지점이므로 횡단 동선, 신호 대기, 보행 집중 시간을 중심으로 해석합니다."
